srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm
172.217.20.110,443,172.29.70.83,45042,tcp,SF,0.514605,8606,1680,118,64,0,0,http,133788.039247,26117.116655,11,16,1050,504,432962701,2584497968,782.363636,105.000000,7,840,71.531615,59.207560,1775759118,1775759118,51.274353,34.307003,0.052522,0.052421,0.000101,0,0,0,0,0,0,0,0,0,0,0,0
172.217.20.110,443,172.29.70.83,45042,tcp,CON,0.000015,91,40,118,64,0,0,http,48467512.888889,21304401.269841,1,1,1050,0,432970728,2584498785,91.000000,40.000000,1,0,0.000000,0.000000,1775759118,1775759118,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0,0,1,1,1,1,1,1,1
172.217.20.110,443,172.29.70.83,45042,tcp,CON,0.000025,52,40,118,64,0,0,http,16617432.990476,12782640.761905,1,1,1050,0,432970767,2584498809,52.000000,40.000000,0,0,0.000000,0.000000,1775759119,1775759119,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,2,0,0,2,2,2,2,2,2,2
172.217.20.110,443,172.29.70.83,45042,tcp,CON,0.000063,52,40,118,64,0,0,http,6584265.901887,5064819.924528,1,1,1050,0,432970767,2584498810,52.000000,40.000000,0,0,0.000000,0.000000,1775759119,1775759119,0.000000,0.000000,0.000000,0.000000,0.000000,0,2,3,0,0,3,3,3,3,3,3,3
172.217.20.110,443,172.29.70.83,45056,tcp,SF,0.606163,8666,1771,118,64,0,0,http,114371.872173,23373.250129,12,17,1050,504,1450061180,2370012880,722.166667,104.176471,8,879,93.022966,74.055412,1775759119,1775759120,56.583595,37.885189,0.039141,0.039048,0.000093,0,1,4,0,0,4,4,4,4,0,4,4
172.217.20.110,443,172.29.70.83,45056,tcp,S1,0.000265,168,0,118,0,0,0,http,5073937.512151,0.000000,3,0,1050,0,1450069215,0,56.000000,0.000000,0,0,0.000000,0.000000,1775759120,1775759120,0.264883,0.000000,0.000000,0.000000,0.000000,0,0,5,0,0,5,5,5,5,1,5,5
172.217.20.110,443,172.29.70.83,45058,tcp,SF,0.586591,8666,1563,118,64,0,0,http,118187.969762,21316.385499,12,13,1050,504,2019308005,35804064,722.166667,120.230769,8,879,72.825673,83.696734,1775759121,1775759122,54.424763,48.882584,0.096035,0.095981,0.000054,0,2,6,0,0,6,6,6,6,0,6,6
172.217.20.110,443,172.29.70.83,45058,tcp,S1,0.000000,168,0,118,0,0,0,http,0.000000,0.000000,3,0,1050,0,2019316040,0,56.000000,0.000000,0,0,0.000000,0.000000,1775759122,1775759122,0.000000,0.000000,0.000000,0.000000,0.000000,0,1,7,0,0,7,7,7,7,1,7,7
172.217.20.110,443,172.29.70.83,45062,tcp,SF,0.861936,8891,1900,118,64,0,0,http,82521.222053,17634.722967,15,20,1050,504,2207078636,3285752333,592.733333,95.000000,9,840,148.107410,117.978368,1775759123,1775759124,73.367271,45.365045,0.053809,0.053741,0.000068,0,3,8,0,0,8,8,8,8,0,8,8
172.217.20.110,443,172.29.70.83,45062,tcp,S1,0.000017,104,0,118,0,0,0,http,49150153.915493,0.000000,2,0,1050,0,2207086701,0,52.000000,0.000000,0,0,0.000000,0.000000,1775759124,1775759124,0.016928,0.000000,0.000000,0.000000,0.000000,0,2,9,0,0,9,9,9,9,1,9,9
172.217.20.110,443,172.29.70.83,45064,tcp,SF,0.569064,8666,1771,118,64,0,0,http,121828.094740,24897.017746,12,17,1050,504,3820624941,3120948949,722.166667,104.176471,8,879,85.582658,69.070604,1775759125,1775759125,50.789690,35.566509,0.058606,0.058430,0.000176,0,4,10,0,0,10,10,10,10,0,10,10
172.217.20.110,443,172.29.70.83,45064,tcp,CON,0.006589,259,64,118,64,0,0,http,314466.561297,77706.022869,4,1,1050,504,3820632937,3120949830,64.750000,64.000000,1,0,4.263238,0.000000,1775759125,1775759125,3.294468,0.000000,0.000000,0.000000,0.000000,0,3,11,0,0,11,11,11,11,1,11,11
172.217.20.110,443,172.29.70.83,45070,tcp,SF,0.869493,8750,1576,118,64,0,0,http,80506.685371,14500.404131,13,14,1050,504,2698143960,3662376176,673.076923,112.571429,8,840,123.615947,132.133786,1775759126,1775759127,89.351743,66.884078,0.153998,0.153818,0.000180,0,5,12,0,0,12,12,12,12,0,12,12
172.217.20.110,443,172.29.70.83,45070,tcp,CON,0.043799,259,64,118,64,0,0,http,47307.098777,11689.785026,4,1,1050,504,2698151988,3662377018,64.750000,64.000000,1,0,29.897288,0.000000,1775759127,1775759127,21.899462,0.000000,0.000000,0.000000,0.000000,0,4,13,0,0,13,13,13,13,1,13,13
172.217.20.110,443,172.29.70.83,47580,tcp,SF,0.584077,8854,1836,117,64,0,0,http,121271.706268,25147.374374,15,19,1050,677,3533888819,4229167580,590.266667,96.631579,8,840,79.089333,66.155190,1775759128,1775759129,43.255667,32.448716,0.063997,0.063826,0.000171,0,6,14,0,0,14,14,14,14,0,14,14
172.217.20.110,443,172.29.70.83,47580,tcp,S1,0.000047,104,0,117,0,0,0,http,17714014.862944,0.000000,2,0,1050,0,3533896886,0,52.000000,0.000000,0,0,0.000000,0.000000,1775759129,1775759129,0.046968,0.000000,0.000000,0.000000,0.000000,0,3,15,0,0,15,15,15,15,1,15,15
172.217.20.110,443,172.29.70.83,47596,tcp,SF,0.579892,8771,1875,118,64,0,0,http,121001.858397,25866.889123,14,19,1050,661,1419864001,3044326965,626.500000,98.684211,8,879,90.103667,69.437257,1775759130,1775759130,47.573090,32.216218,0.053307,0.053191,0.000116,0,7,16,0,0,16,16,16,16,0,16,16
172.217.20.110,443,172.29.70.83,47596,tcp,CON,0.027207,259,64,118,64,0,0,http,76157.157649,18818.757103,4,1,1050,661,1419871998,3044327846,64.750000,64.000000,1,0,18.888869,0.000000,1775759130,1775759130,13.603449,0.000000,0.000000,0.000000,0.000000,0,5,17,0,0,17,17,17,17,1,17,17
172.217.20.110,443,172.29.70.83,47602,tcp,SF,0.620497,8698,1732,117,64,0,0,http,112142.365414,22330.487112,12,17,1050,502,2117638248,1264768619,724.833333,101.882353,7,840,73.310857,63.873293,1775759131,1775759132,58.352311,38.781062,0.094600,0.094552,0.000048,0,8,18,0,0,18,18,18,18,0,18,18
172.217.20.110,443,172.29.70.83,47602,tcp,S1,0.000299,168,0,117,0,0,0,http,4495330.602871,0.000000,3,0,1050,0,2117646315,0,56.000000,0.000000,0,0,0.000000,0.000000,1775759132,1775759132,0.298977,0.000000,0.000000,0.000000,0.000000,0,4,19,0,0,19,19,19,19,1,19,19
172.217.20.110,443,172.29.70.83,47604,tcp,SF,0.818838,8840,1848,117,64,0,0,http,86366.277186,18054.850706,14,19,1050,680,1606988223,3090668301,631.428571,97.263158,8,840,128.202337,110.526650,1775759133,1775759134,57.019912,45.491007,0.074851,0.074670,0.000181,0,9,20,0,0,20,20,20,20,0,20,20
172.217.20.110,443,172.29.70.83,47604,tcp,S1,0.027911,104,0,117,0,0,0,http,29809.091614,0.000000,2,0,1050,0,1606996289,0,52.000000,0.000000,0,0,0.000000,0.000000,1775759134,1775759134,27.910948,0.000000,0.000000,0.000000,0.000000,0,5,21,0,0,21,21,21,21,1,21,21
172.217.20.110,443,172.29.70.83,47612,tcp,SF,0.598525,8748,1732,118,64,0,0,http,116927.437399,23150.242521,13,17,1050,504,1106036471,3589331035,672.923077,101.882353,7,840,89.835553,67.105416,1775759135,1775759135,54.388094,37.407815,0.054089,0.053910,0.000179,0,10,22,0,0,22,22,22,22,0,22,22
172.217.20.110,443,172.29.70.83,47612,tcp,S1,0.000174,104,0,118,0,0,0,http,4780357.435616,0.000000,2,0,1050,0,1106044536,0,52.000000,0.000000,0,0,0.000000,0.000000,1775759135,1775759135,0.174046,0.000000,0.000000,0.000000,0.000000,0,6,23,0,0,23,23,23,23,1,23,23
172.217.20.110,443,172.29.70.83,47620,tcp,SF,0.862416,8788,1848,118,64,0,0,http,81519.820641,17142.538523,13,19,1050,502,2616574765,3049987785,676.000000,97.263158,8,840,162.086704,124.868584,1775759136,1775759137,76.909304,47.912002,0.090419,0.090353,0.000066,0,11,24,0,0,24,24,24,24,0,24,24
172.217.20.110,443,172.29.70.83,47620,tcp,S1,0.000048,104,0,118,0,0,0,http,17361497.154229,0.000000,2,0,1050,0,2616582831,0,52.000000,0.000000,0,0,0.000000,0.000000,1775759137,1775759137,0.047922,0.000000,0.000000,0.000000,0.000000,0,7,25,0,0,25,25,25,25,1,25,25
172.217.20.110,443,172.29.70.83,43356,tcp,SF,0.572483,8665,1771,118,64,0,0,http,121086.551745,24748.330426,12,17,1050,680,3186680371,1748461922,722.083333,104.176471,8,879,79.734117,67.121703,1775759138,1775759139,51.404405,35.780191,0.055524,0.055343,0.000181,0,12,26,0,0,26,26,26,26,0,26,26
172.217.20.110,443,172.29.70.83,43356,tcp,S1,0.004102,168,0,118,0,0,0,http,327645.717873,0.000000,3,0,1050,0,3186688405,0,56.000000,0.000000,0,0,2.173597,0.000000,1775759139,1775759139,2.050996,0.000000,0.000000,0.000000,0.000000,0,8,27,0,0,27,27,27,27,1,27,27
172.217.20.110,443,172.29.70.83,43368,tcp,SF,0.508129,8563,1719,117,64,0,0,http,134816.127084,27063.987207,10,16,1050,661,4150559087,1202094891,856.300000,107.437500,8,879,70.071913,58.746274,1775759140,1775759140,50.023662,33.875275,0.054972,0.054915,0.000057,0,13,28,0,0,28,28,28,28,0,28,28
