"srcip","sport","dstip","dsport","proto","state","dur","sbytes","dbytes","sttl","dttl","sloss","dloss","service","Sload","Dload","Spkts","Dpkts","swin","dwin","stcpb","dtcpb","smeansz","dmeansz","trans_depth","res_bdy_len","Sjit","Djit","Stime","Ltime","Sintpkt","Dintpkt","tcprtt","synack","ackdat","is_sm_ips_ports","ct_state_ttl","ct_flw_http_mthd","is_ftp_login","ct_ftp_cmd","ct_srv_src","ct_srv_dst","ct_dst_ltm","ct_src_ltm","ct_src_dport_ltm","ct_dst_sport_ltm","ct_dst_src_ltm"
"0.0.0.0","0","0.0.0.0","0","TCP","LISTENING","0","0","0","0","0","0","0","other","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1775580575","1775580575","0","0","0","1","0","1","0","0","0","0","33","15","15","33","33","15","11"
"0.0.0.0","0","0.0.0.0","0","TCP","LISTENING","0","0","0","0","0","0","0","other","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1775580575","1775580575","0","0","0","1","0","1","0","0","0","0","33","15","15","33","33","15","11"
"0.0.0.0","0","0.0.0.0","0","TCP","LISTENING","0","0","0","0","0","0","0","other","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1775580575","1775580575","0","0","0","1","0","1","0","0","0","0","33","15","15","33","33","15","11"
"0.0.0.0","0","0.0.0.0","0","TCP","LISTENING","0","0","0","0","0","0","0","other","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1775580575","1775580575","0","0","0","1","0","1","0","0","0","0","33","15","15","33","33","15","11"
"0.0.0.0","0","0.0.0.0","0","TCP","LISTENING","0","0","0","0","0","0","0","other","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1775580575","1775580575","0","0","0","1","0","1","0","0","0","0","33","15","15","33","33","15","11"
"0.0.0.0","0","0.0.0.0","0","TCP","LISTENING","0","0","0","0","0","0","0","other","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1775580575","1775580575","0","0","0","1","0","1","0","0","0","0","33","15","15","33","33","15","11"
"0.0.0.0","0","0.0.0.0","0","TCP","LISTENING","0","0","0","0","0","0","0","other","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1775580575","1775580575","0","0","0","1","0","1","0","0","0","0","33","15","15","33","33","15","11"
"127.0.0.1","0","0.0.0.0","0","TCP","LISTENING","0","0","0","0","0","0","0","other","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1775580575","1775580575","0","0","0","1","0","1","0","0","0","0","4","15","15","4","4","15","1"
"192.168.1.47","0","172.64.148.235","0","TCP","ESTABLISHED","0","0","0","0","0","0","0","other","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1775580575","1775580575","0","0","0","1","1","1","0","0","0","0","35","2","2","35","35","2","2"
"192.168.1.47","0","52.123.255.224","0","TCP","ESTABLISHED","0","0","0","0","0","0","0","other","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1775580575","1775580575","0","0","0","1","1","1","0","0","0","0","35","-1","-1","35","35","-1","-1"
"192.168.1.47","0","20.42.73.24","0","TCP","ESTABLISHED","0","0","0","0","0","0","0","other","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1775580575","1775580575","0","0","0","1","1","1","0","0","0","0","35","1","1","35","35","1","1"
"192.168.1.47","0","13.227.146.20","0","TCP","ESTABLISHED","0","0","0","0","0","0","0","other","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1775580575","1775580575","0","0","0","1","1","1","0","0","0","0","35","-1","-1","35","35","-1","-1"
"192.168.1.47","0","3.174.230.103","0","TCP","ESTABLISHED","0","0","0","0","0","0","0","other","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1775580575","1775580575","0","0","0","1","1","1","0","0","0","0","35","-1","-1","35","35","-1","-1"
