"protocol","local_address","remote_address","state","pid","process_name","threat_level","threat_score","is_threat"
"TCP","0.0.0.0:49664","0.0.0.0:0","LISTENING","1224","lsass.exe","Clean","2","False"
"TCP","0.0.0.0:49665","0.0.0.0:0","LISTENING","1056","wininit.exe","Clean","2","False"
"TCP","0.0.0.0:49666","0.0.0.0:0","LISTENING","2092","svchost.exe","Clean","2","False"
"TCP","0.0.0.0:49667","0.0.0.0:0","LISTENING","3236","svchost.exe","Clean","2","False"
"TCP","0.0.0.0:49669","0.0.0.0:0","LISTENING","4944","spoolsv.exe","Clean","2","False"
"TCP","0.0.0.0:49673","0.0.0.0:0","LISTENING","1176","services.exe","Clean","2","False"
"TCP","127.0.0.1:58646","0.0.0.0:0","LISTENING","10944","Code.exe","Clean","2","False"
"TCP","192.168.51.6:51814","140.82.113.22:443","ESTABLISHED","13816","Code.exe","Clean","2","False"
"TCP","192.168.51.6:56563","51.11.192.51:443","ESTABLISHED","13816","Code.exe","Clean","2","False"
"TCP","192.168.51.6:58767","18.97.36.59:443","ESTABLISHED","19116","brave.exe","Clean","2","False"
"TCP","192.168.51.6:61344","140.82.112.26:443","ESTABLISHED","13524","msedge.exe","Clean","2","False"
"TCP","[::]:49664","[::]:0","LISTENING","1224","lsass.exe","Clean","2","False"
"TCP","[::]:49665","[::]:0","LISTENING","1056","wininit.exe","Clean","2","False"
"TCP","[::]:49666","[::]:0","LISTENING","2092","svchost.exe","Clean","2","False"
"TCP","[::]:49667","[::]:0","LISTENING","3236","svchost.exe","Clean","2","False"
"TCP","[::]:49669","[::]:0","LISTENING","4944","spoolsv.exe","Clean","2","False"
"TCP","[::]:49673","[::]:0","LISTENING","1176","services.exe","Clean","2","False"
"TCP","[::1]:49670","[::]:0","LISTENING","5256","jhi_service.exe","Clean","2","False"
"TCP","[2c0f:f3a0:9a:f1c2:8d60:f783:edb6:fa74]:57971","[2603:1020:805:3::402]:443","ESTABLISHED","5264","svchost.exe","Clean","2","False"
"UDP","0.0.0.0:57797","*:*","UNKNOWN","2704","svchost.exe","Clean","2","False"
"UDP","0.0.0.0:61669","*:*","UNKNOWN","4732","svchost.exe","Clean","2","False"
"UDP","0.0.0.0:61670","*:*","UNKNOWN","4732","svchost.exe","Clean","2","False"
"UDP","127.0.0.1:54884","*:*","UNKNOWN","2944","svchost.exe","Clean","2","False"
"UDP","172.29.64.1:54885","*:*","UNKNOWN","2944","svchost.exe","Clean","2","False"
"UDP","192.168.51.6:54883","*:*","UNKNOWN","2944","svchost.exe","Clean","2","False"
"UDP","[::]:57797","*:*","UNKNOWN","2704","svchost.exe","Clean","2","False"
"UDP","[::]:61671","*:*","UNKNOWN","4732","svchost.exe","Clean","2","False"
"UDP","[::1]:54881","*:*","UNKNOWN","2944","svchost.exe","Clean","2","False"
"UDP","[fe80::d6:d7c0:8e35:840a%45]:54882","*:*","UNKNOWN","2944","svchost.exe","Clean","2","False"
"UDP","[fe80::5c46:6b18:9589:b136%16]:54880","*:*","UNKNOWN","2944","svchost.exe","Clean","2","False"
"TCP","0.0.0.0:135","0.0.0.0:0","LISTENING","1488","svchost.exe","Clean","0","False"
"TCP","0.0.0.0:445","0.0.0.0:0","LISTENING","4","System","Clean","0","False"
"TCP","0.0.0.0:5040","0.0.0.0:0","LISTENING","8216","svchost.exe","Clean","0","False"
"TCP","0.0.0.0:5432","0.0.0.0:0","LISTENING","7108","postgres.exe","Clean","0","False"
"TCP","0.0.0.0:7680","0.0.0.0:0","LISTENING","4844","svchost.exe","Clean","0","False"
"TCP","127.0.0.1:10533","0.0.0.0:0","LISTENING","15860","Postman Agent.exe","Clean","0","False"
"TCP","172.29.64.1:139","0.0.0.0:0","LISTENING","4","System","Clean","0","False"
"TCP","192.168.51.6:139","0.0.0.0:0","LISTENING","4","System","Clean","0","False"
"TCP","192.168.51.6:63193","51.11.192.51:443","TIME_WAIT","0","[System Process]","Clean","0","False"
"TCP","[::]:135","[::]:0","LISTENING","1488","svchost.exe","Clean","0","False"
"TCP","[::]:445","[::]:0","LISTENING","4","System","Clean","0","False"
"TCP","[::]:5432","[::]:0","LISTENING","7108","postgres.exe","Clean","0","False"
"TCP","[::]:7680","[::]:0","LISTENING","4844","svchost.exe","Clean","0","False"
"UDP","0.0.0.0:53","*:*","UNKNOWN","4732","svchost.exe","Clean","0","False"
"UDP","0.0.0.0:5050","*:*","UNKNOWN","8216","svchost.exe","Clean","0","False"
"UDP","0.0.0.0:5353","*:*","UNKNOWN","19116","brave.exe","Clean","0","False"
"UDP","0.0.0.0:5353","*:*","UNKNOWN","4768","msedge.exe","Clean","0","False"
"UDP","0.0.0.0:5353","*:*","UNKNOWN","12548","brave.exe","Clean","0","False"
"UDP","0.0.0.0:5353","*:*","UNKNOWN","12548","brave.exe","Clean","0","False"
"UDP","0.0.0.0:5353","*:*","UNKNOWN","2704","svchost.exe","Clean","0","False"
"UDP","0.0.0.0:5353","*:*","UNKNOWN","12548","brave.exe","Clean","0","False"
"UDP","0.0.0.0:5353","*:*","UNKNOWN","4768","msedge.exe","Clean","0","False"
"UDP","0.0.0.0:5353","*:*","UNKNOWN","4768","msedge.exe","Clean","0","False"
"UDP","0.0.0.0:5353","*:*","UNKNOWN","4768","msedge.exe","Clean","0","False"
"UDP","0.0.0.0:5353","*:*","UNKNOWN","12548","brave.exe","Clean","0","False"
"UDP","0.0.0.0:5353","*:*","UNKNOWN","19116","brave.exe","Clean","0","False"
"UDP","0.0.0.0:5355","*:*","UNKNOWN","2704","svchost.exe","Clean","0","False"
"UDP","0.0.0.0:51502","0.0.1.128:443","UNKNOWN","19116","brave.exe","Clean","0","False"
"UDP","0.0.0.0:53815","0.0.32.14:443","UNKNOWN","19116","brave.exe","Clean","0","False"
"UDP","127.0.0.1:1900","*:*","UNKNOWN","2944","svchost.exe","Clean","0","False"
"UDP","127.0.0.1:53015","127.0.0.1:53015","UNKNOWN","5232","svchost.exe","Clean","0","False"
"UDP","172.29.64.1:137","*:*","UNKNOWN","4","System","Clean","0","False"
"UDP","172.29.64.1:138","*:*","UNKNOWN","4","System","Clean","0","False"
"UDP","172.29.64.1:1900","*:*","UNKNOWN","2944","svchost.exe","Clean","0","False"
"UDP","192.168.51.6:137","*:*","UNKNOWN","4","System","Clean","0","False"
"UDP","192.168.51.6:138","*:*","UNKNOWN","4","System","Clean","0","False"
"UDP","192.168.51.6:1900","*:*","UNKNOWN","2944","svchost.exe","Clean","0","False"
"UDP","[::]:5353","*:*","UNKNOWN","2704","svchost.exe","Clean","0","False"
"UDP","[::]:5353","*:*","UNKNOWN","4768","msedge.exe","Clean","0","False"
"UDP","[::]:5353","*:*","UNKNOWN","4768","msedge.exe","Clean","0","False"
"UDP","[::]:5353","*:*","UNKNOWN","12548","brave.exe","Clean","0","False"
"UDP","[::]:5353","*:*","UNKNOWN","12548","brave.exe","Clean","0","False"
"UDP","[::]:5353","*:*","UNKNOWN","19116","brave.exe","Clean","0","False"
"UDP","[::]:5355","*:*","UNKNOWN","2704","svchost.exe","Clean","0","False"
"UDP","[::]:51502","[2001:4860:4802:36::180]:443","UNKNOWN","19116","brave.exe","Clean","0","False"
"UDP","[::]:53815","[2a00:1450:4006:814::200e]:443","UNKNOWN","19116","brave.exe","Clean","0","False"
"UDP","[::1]:1900","*:*","UNKNOWN","2944","svchost.exe","Clean","0","False"
"UDP","[fe80::d6:d7c0:8e35:840a%45]:1900","*:*","UNKNOWN","2944","svchost.exe","Clean","0","False"
"UDP","[fe80::5c46:6b18:9589:b136%16]:1900","*:*","UNKNOWN","2944","svchost.exe","Clean","0","False"
